Date,Units,NAV,Amount,fundcode,fundname
15-07-2024,14.983,166.85,2500.0,118834,Mirae Asset Large & Midcap Fund
01-08-2024,58.809,170.03,10000.0,118834,Mirae Asset Large & Midcap Fund
16-08-2024,15.011,166.54,2500.0,118834,Mirae Asset Large & Midcap Fund
02-09-2024,58.209,171.79,10000.0,118834,Mirae Asset Large & Midcap Fund
16-09-2024,14.486,172.57,2500.0,118834,Mirae Asset Large & Midcap Fund
01-10-2024,57.361,174.33,10000.0,118834,Mirae Asset Large & Midcap Fund
15-10-2024,14.726,169.75,2500.0,118834,Mirae Asset Large & Midcap Fund
04-11-2024,61.928,161.47,10000.0,118834,Mirae Asset Large & Midcap Fund
19-11-2024,15.811,158.12,2500.0,118834,Mirae Asset Large & Midcap Fund
02-12-2024,60.575,165.08,10000.0,118834,Mirae Asset Large & Midcap Fund
16-12-2024,14.752,169.46,2500.0,118834,Mirae Asset Large & Midcap Fund
01-01-2025,61.564,162.43,10000.0,118834,Mirae Asset Large & Midcap Fund
15-01-2025,16.191,154.4,2500.0,118834,Mirae Asset Large & Midcap Fund
03-02-2025,65.691,152.22,10000.0,118834,Mirae Asset Large & Midcap Fund
17-02-2025,17.091,146.27,2500.0,118834,Mirae Asset Large & Midcap Fund
03-03-2025,70.659,141.52,10000.0,118834,Mirae Asset Large & Midcap Fund
17-03-2025,17.301,144.5,2500.0,118834,Mirae Asset Large & Midcap Fund
02-04-2025,65.737,152.11,10000.0,118834,Mirae Asset Large & Midcap Fund
15-04-2025,16.52,151.32,2500.0,118834,Mirae Asset Large & Midcap Fund
02-05-2025,63.793,156.75,10000.0,118834,Mirae Asset Large & Midcap Fund
15-05-2025,15.345,162.91,2500.0,118834,Mirae Asset Large & Midcap Fund
02-06-2025,60.935,164.1,10000.0,118834,Mirae Asset Large & Midcap Fund
16-06-2025,14.953,167.19,2500.0,118834,Mirae Asset Large & Midcap Fund
01-07-2025,58.575,170.71,10000.0,118834,Mirae Asset Large & Midcap Fund
15-07-2025,14.609,171.12,2500.0,118834,Mirae Asset Large & Midcap Fund
04-08-2025,59.966,166.75,10000.0,118834,Mirae Asset Large & Midcap Fund
01-09-2025,59.912,166.9,10000.0,118834,Mirae Asset Large & Midcap Fund
01-10-2025,59.045,169.36,10000.0,118834,Mirae Asset Large & Midcap Fund
03-11-2025,56.401,177.29,10000.0,118834,Mirae Asset Large & Midcap Fund
04-09-2023,470.877,21.24,10000.0,143903,ICICI Pru BHARAT 22 FOF
04-09-2023,47.088,21.24,1000.0,143903,ICICI Pru BHARAT 22 FOF
04-10-2023,456.579,21.9,10000.0,143903,ICICI Pru BHARAT 22 FOF
04-10-2023,45.658,21.9,1000.0,143903,ICICI Pru BHARAT 22 FOF
07-11-2023,44.801,22.32,1000.0,143903,ICICI Pru BHARAT 22 FOF
07-11-2023,448.014,22.32,10000.0,143903,ICICI Pru BHARAT 22 FOF
04-12-2023,405.995,24.63,10000.0,143903,ICICI Pru BHARAT 22 FOF
04-12-2023,40.6,24.63,1000.0,143903,ICICI Pru BHARAT 22 FOF
04-01-2024,36.879,27.11,1000.0,143903,ICICI Pru BHARAT 22 FOF
